Latitude,Longitude,Substation Name,Substation Type,Substation Voltage
34.77294211778746,-102.29813426488707,Hereford Wind Substation,Transmission,345000
35.29198831277656,-102.58259189990355,Spinning Spur 2 Substation,Transmission,345000
35.297182452592025,-102.71027817657462,Spinning Spur 3 Substation,Transmission,345000
41.5127239354405,-120.63445912752263,Hilltop Substation,Transmission,345000
46.52846207351406,-116.36752040158218,Dworshak Substation,Transmission,500000
46.469154026805086,-116.91079839425777,Hatwai Substation,Transmission,500000
44.05087484466421,-123.23181843743617,Lane Substation,Transmission,500000
45.606390877818534,-121.11532940537235,Big Eddy Substation,Transmission,230000
45.60368728308112,-121.10805556577955,Big Eddy Substation,Transmission,500000
45.360721801666315,-122.40804162696112,Ostrander Substation,Transmission,500000
44.22616109137002,-120.9327999943445,Ponderosa Substation,Transmission,500000
43.01396373822589,-120.95589910500668,Summer Lake Substation,Transmission,500000
42.1739551724489,-121.81351776414225,Klamath Substation,Transmission,500000
39.63088448009508,-104.71494074877504,Smoky Hill Substation,Transmission,230000
40.008496292981675,-107.9803155224426,Meeker Substation,Transmission,345000
39.9499472522575,-108.33099229676344,Mcbryde Substation,Transmission,345000
41.12803523413073,-73.42876311065862,Norwalk Substation,Transmission,345000
41.620603373105524,-73.44224371415818,Long Mountain Substation,Transmission,345000
